amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
29346,secured,11/02362/OUT-S2.E.1,11/02362/OUT-S2.E.1-TRANS1,,2020-12-02,2018-08-08,,
29346,received,11/02362/OUT-S2.E.2,11/02362/OUT-S2.E.1-TRANS2,,2020-12-02,2019-03-19,,
29346,allocated,11/02362/OUT-S2.E.3,11/02362/OUT-S2.E.1-TRANS3,,2020-12-02,2019-03-19,,
,secured,11/02362/OUT-S7.A,11/02362/OUT-S7.A,,2020-12-02,2018-08-08,9,
290113,secured,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS1,,2020-12-02,2013-08-19,,
290113,received,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS2,,2020-12-02,2014-10-08,,
290113,allocated,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS3,,2020-12-02,2014-10-08,,
1951.2,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS4,,2020-12-02,2016-03-31,,
15098.51,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS5,,2020-12-02,2017-03-31,,
19974.87,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS6,,2020-12-02,2018-03-31,,
75671.54,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS7,,2020-12-02,2019-03-31,,
33223.52,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS8,,2020-12-02,2019-06-30,,
2468.43,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS9,,2020-12-02,2019-09-30,,
10078.4,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS10,,2020-12-02,2019-12-31,,
12893.23,spent,13/00400/VAR-S2.1,13/00400/VAR-S2.1-TRANS11,,2020-12-02,2020-03-31,,
21525,secured,13/00400/VAR-S2.2,13/00400/VAR-S2.2-TRANS1,,2020-12-02,2012-12-19,,
21525,received,13/00400/VAR-S2.3,13/00400/VAR-S2.2-TRANS2,,2020-12-02,2014-01-11,,
21525,allocated,13/00400/VAR-S2.4,13/00400/VAR-S2.2-TRANS3,,2020-12-02,2014-01-11,,
53812,secured,13/00400/VAR-S3.1,13/00400/VAR-S3.1-TRANS1,,2020-12-02,2012-12-19,,
53812,received,13/00400/VAR-S3.1,13/00400/VAR-S3.1-TRANS2,,2020-12-02,2014-01-11,,
53812,allocated,13/00400/VAR-S3.1,13/00400/VAR-S3.1-TRANS3,,2020-12-02,2014-01-11,,
3.718E+4,secured,13/00400/VAR-S3.2,13/00400/VAR-S3.2-TRANS1,,2020-12-02,2012-12-19,,
3.718E+4,received,13/00400/VAR-S3.2,13/00400/VAR-S3.2-TRANS2,,2020-12-02,2014-01-11,,
3.718E+4,allocated,13/00400/VAR-S3.2,13/00400/VAR-S3.2-TRANS3,,2020-12-02,2014-01-11,,
3.718E+4,spent,13/00400/VAR-S3.2,13/00400/VAR-S3.2-TRANS4,,2020-12-02,2017-03-31,,
13942,secured,13/00400/VAR-S3.3,13/00400/VAR-S3.3-TRANS1,,2020-12-02,2012-12-19,,
13942,received,13/00400/VAR-S3.3,13/00400/VAR-S3.3-TRANS2,,2020-12-02,2014-01-11,,
13942,allocated,13/00400/VAR-S3.3,13/00400/VAR-S3.3-TRANS3,,2020-12-02,2014-01-11,,
1.555E+4,secured,13/00799/FUL-S2.1.1,13/00799/FUL-S2.1.1-TRANS1,,2020-12-02,2018-10-14,,
1.555E+4,received,13/00799/FUL-S2.1.1,13/00799/FUL-S2.1.1-TRANS2,,2020-12-02,2018-11-02,,
1.555E+4,allocated,13/00799/FUL-S2.1.1,13/00799/FUL-S2.1.1-TRANS3,,2020-12-02,2018-11-02,,
5.109E+4,secured,13/00799/FUL-S2.2.1,13/00799/FUL-S2.2.1-TRANS1,,2020-12-02,2018-10-14,,
5.109E+4,received,13/00799/FUL-S2.2.1,13/00799/FUL-S2.2.1-TRANS2,,2020-12-02,2018-11-02,,
5.109E+4,allocated,13/00799/FUL-S2.2.1,13/00799/FUL-S2.2.1-TRANS3,,2020-12-02,2018-11-02,,
2.5E+5,secured,13/00799/FUL-S2.4.1,13/00799/FUL-S2.4.1-TRANS1,,2020-12-02,2019-11-28,,
103731.66,secured,13/00799/FUL-S2.5.1,13/00799/FUL-S2.5.1-TRANS1,,2020-12-02,2019-11-28,,
76409,secured,13/00799/FUL-S2.6,13/00799/FUL-S2.6-TRANS1,,2020-12-02,2019-11-28,,
101323,secured,13/00799/FUL-S2.7.1,13/00799/FUL-S2.7.1-TRANS1,,2020-12-02,2019-11-28,,
6E+3,secured,13/00799/FUL-MON,13/00799/FUL-MON-TRANS1,,2020-12-03,2018-09-19,,
